epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1309.7,1.6185,4.12732,2.05189,0.66076,0.09096,0.08848,0.04975,1.79703,3.68599,2.65238,0.000138219,0.000138219,0.000138219
2,2418.74,1.61733,3.23433,2.04506,0.55942,0.15646,0.15484,0.07033,1.96818,3.39968,2.70646,0.00027173,0.00027173,0.00027173
3,3963.15,1.6239,2.83444,2.03757,0.49968,0.22706,0.18885,0.08936,1.78862,3.86448,2.57292,0.000399737,0.000399737,0.000399737
4,5203.19,1.59912,2.60341,2.01509,0.34813,0.28237,0.22195,0.08733,2.04104,2.74242,2.79416,0.00039223,0.00039223,0.00039223
5,6623.46,1.559,2.43273,1.9728,0.35862,0.3196,0.29507,0.13068,1.81074,2.29699,2.67191,0.000383974,0.000383974,0.000383974
6,7553.91,1.56432,2.31365,1.94057,0.3962,0.31446,0.32013,0.15986,1.73633,2.7465,2.50895,0.000375717,0.000375717,0.000375717
7,8508.69,1.5286,2.2111,1.92026,0.46831,0.27814,0.35181,0.17644,1.79872,2.36573,2.55286,0.00036746,0.00036746,0.00036746
